"modo","operacao","threads","rodada1","rodada2","rodada3","media"
"paralelo","SELECT","1","0,083","0,058","0,048","0,063"
"paralelo","SELECT","2","0,066","0,058","0,058","0,061"
"paralelo","SELECT","4","0,086","0,105","0,087","0,093"
"paralelo","SELECT","8","0,063","0,884","0,048","0,332"
"paralelo","UPDATE","1","1,954","2,012","2,051","2,006"
"paralelo","UPDATE","2","2,317","2,822","2,227","2,455"
"paralelo","UPDATE","4","3,117","6,827","3,332","4,425"
"paralelo","UPDATE","8","3,578","3,277","3,78","3,545"
"sequencial","SELECT","1","0,121","0,084","0,112","0,106"
"sequencial","SELECT","2","0,105","0,1","0,409","0,205"
"sequencial","SELECT","4","0,101","0,092","1,496","0,563"
"sequencial","SELECT","8","0,094","0,172","0,155","0,14"
"sequencial","UPDATE","1","4,658","2,637","3,039","3,445"
"sequencial","UPDATE","2","3,962","2,708","2,82","3,163"
"sequencial","UPDATE","4","3,214","2,442","2,62","2,759"
"sequencial","UPDATE","8","2,806","2,084","1,962","2,284"
