"rodada","modo","operacao","threads","segundos"
"1","sequencial","SELECT","1","0,121"
"1","sequencial","SELECT","2","0,105"
"1","sequencial","SELECT","4","0,101"
"1","sequencial","SELECT","8","0,094"
"1","sequencial","UPDATE","1","4,658"
"1","sequencial","UPDATE","2","3,962"
"1","sequencial","UPDATE","4","3,214"
"1","sequencial","UPDATE","8","2,806"
"1","paralelo","SELECT","1","0,083"
"1","paralelo","SELECT","2","0,066"
"1","paralelo","SELECT","4","0,086"
"1","paralelo","SELECT","8","0,063"
"1","paralelo","UPDATE","1","1,954"
"1","paralelo","UPDATE","2","2,317"
"1","paralelo","UPDATE","4","3,117"
"1","paralelo","UPDATE","8","3,578"
"2","sequencial","SELECT","1","0,084"
"2","sequencial","SELECT","2","0,1"
"2","sequencial","SELECT","4","0,092"
"2","sequencial","SELECT","8","0,172"
"2","sequencial","UPDATE","1","2,637"
"2","sequencial","UPDATE","2","2,708"
"2","sequencial","UPDATE","4","2,442"
"2","sequencial","UPDATE","8","2,084"
"2","paralelo","SELECT","1","0,058"
"2","paralelo","SELECT","2","0,058"
"2","paralelo","SELECT","4","0,105"
"2","paralelo","SELECT","8","0,884"
"2","paralelo","UPDATE","1","2,012"
"2","paralelo","UPDATE","2","2,822"
"2","paralelo","UPDATE","4","6,827"
"2","paralelo","UPDATE","8","3,277"
"3","sequencial","SELECT","1","0,112"
"3","sequencial","SELECT","2","0,409"
"3","sequencial","SELECT","4","1,496"
"3","sequencial","SELECT","8","0,155"
"3","sequencial","UPDATE","1","3,039"
"3","sequencial","UPDATE","2","2,82"
"3","sequencial","UPDATE","4","2,62"
"3","sequencial","UPDATE","8","1,962"
"3","paralelo","SELECT","1","0,048"
"3","paralelo","SELECT","2","0,058"
"3","paralelo","SELECT","4","0,087"
"3","paralelo","SELECT","8","0,048"
"3","paralelo","UPDATE","1","2,051"
"3","paralelo","UPDATE","2","2,227"
"3","paralelo","UPDATE","4","3,332"
"3","paralelo","UPDATE","8","3,78"
